ID_Nac;Hor;Hmor;Mor_Pp;Mor_suf;Mor_ sec;Lim_sup;Lim_inf;CO_porc (1);COS
CSp-NII_F3-97-0008;1;Ap;A;p;1;0;15;2,947;0,02947
CSp-NII_F3-97-0008;2;Bw1;B;w;1;15;50;1,652;0,01652
CSp-NII_F3-97-0008;3;Bw2;B;w;1;50;70;0;0
CSp-NII_F3-97-0008;4;Bw3;B;w;1;70;90;0;0
CSp-NII_F3-97-0008;5;Bw4;B;w;1;90;105;0;0
CSp-NII_F3-97-0008;6;Ab;A;b;1;105;125;0;0
CSp-NII_F3-97-0008;7;2Bw1;B;w;2;125;140;0;0
CSp-NII_F3-97-0010;1;Ap;A;p;1;0;5;0;0
CSp-NII_F3-97-0010;2;Bw;B;w;1;5;20;1,115;0,01115
CSp-NII_F3-97-0010;3;C1;C;;1;20;55;1,115;0,01115
CSp-NII_F3-97-0010;4;C2;C;;1;55;75;0,558;0,00558
CSp-NII_F3-97-0010;5;C3;C;;1;75;145;0;0
CSp-NII_F3-97-0011;1;Oi;O;i;1;0;5;0;0
CSp-NII_F3-97-0011;2;A;A;;1;5;25;4,522;0,04522
CSp-NII_F3-97-0011;3;Bw;B;w;1;25;75;1,223;0,01223
CSp-NII_F3-97-0011;4;Cr;C;r;1;75;140;0;0
CSp-NIII_A2-89-0004;1;Ap;A;p;1;0;22;1,523;0,01523
CSp-NIII_A2-89-0004;2;Bw1;B;w;1;22;47;0,794;0,00794
CSp-NIII_A2-89-0004;3;Bw2;B;w;1;47;96;0,729;0,00729
CSp-NIII_A2-89-0004;4;2Bw3;B;w;2;96;140;0;0
CSp-NIII_A2-89-0005;1;Ap;A;p;1;0;22;1,416;0,01416
CSp-NIII_A2-89-0005;2;Bw1;B;w;1;22;42;0,558;0,00558
CSp-NIII_A2-89-0005;3;Bw2;B;w;1;42;76;0,45;0,0045
CSp-NIII_A2-89-0005;4;Bw3;B;w;1;76;115;0;0
CSp-NIII_A2-89-0005;5;Bw4;B;w;1;115;150;0,472;0,00472
CSp-NIII_A2-89-0006;1;Ap;A;p;1;0;25;1,716;0,01716
CSp-NIII_A2-89-0006;2;A1;A;;1;25;51;1,158;0,01158
CSp-NIII_A2-89-0006;3;A2;A;;1;51;96;0;0
CSp-NIII_A2-89-0006;4;Bw1;B;w;1;96;127;0;0
CSp-NIII_A2-89-0006;5;2Bw2;B;w;2;127;150;0;0
CSp-NIII_A2-89-0007;1;Ap;A;p;1;0;25;3,531;0,03531
CSp-NIII_A2-89-0007;2;A;A;;1;25;46;0,944;0,00944
CSp-NIII_A2-89-0007;3;Bw1;B;w;1;46;75;1,244;0,01244
CSp-NIII_A2-89-0007;4;Bw2;B;w;1;75;99;0;0
CSp-NIII_A2-89-0007;5;2Bw3;B;w;2;99;150;0;0
CSp-NIII_B1-83-0028;1;Ap;A;p;1;0;50;2,255;0,02255
CSp-NIII_B1-83-0028;2;A1;A;;1;50;90;1,583;0,01583
CSp-NIII_B1-83-0028;3;A2;A;;1;90;110;0;0
CSp-NIII_B1-83-0028;4;Bw;B;w;1;110;160;0;0
CSp-NIII_B1-83-0029;1;Ap;A;p;1;0;15;2,277;0,02277
CSp-NIII_B1-83-0029;2;2C1;C;;2;15;70;0;0
CSp-NIII_B1-83-0029;3;2C2;C;;2;70;90;0;0
CSp-NIII_B1-83-0030;1;Ap;A;p;1;0;55;1,821;0,01821
CSp-NIII_B1-83-0030;2;A;A;;1;55;120;1,388;0,01388
CSp-NIII_B1-83-0030;3;C;C;;1;120;150;0;0
CSp-NIII_B1-83-0031;1;Ap;A;p;1;0;10;2,988;0,02988
CSp-NIII_B1-83-0031;2;A1;A;;1;10;60;1,474;0,01474
CSp-NIII_B1-83-0031;3;A2;A;;1;60;90;0;0
CSp-NIII_B1-83-0031;4;Bw;B;w;1;90;120;0;0
CSp-NIII_B1-83-0031;5;Ab;A;b;1;120;150;0;0
CSp-NIII_B1-83-0033;1;Ap;A;p;1;0;15;1,865;0,01865
CSp-NIII_B1-83-0033;2;2C;C;;2;15;90;0;0
