ID_Nac;X;Y
CSp-NII_F3-97-0008;680524;10000871
CSp-NII_F3-97-0010;681768;10000819
CSp-NII_F3-97-0011;681708;10000797
CSp-NIII_A2-89-0004;656237;9997691
CSp-NIII_A2-89-0005;655379;9997112
CSp-NIII_A2-89-0006;659172;9992025
CSp-NIII_A2-89-0007;666564;9986313
CSp-NIII_B1-83-0028;691414;9991252
CSp-NIII_B1-83-0029;692777;9989513
CSp-NIII_B1-83-0030;690578;9989387
CSp-NIII_B1-83-0031;688626;9984789
CSp-NIII_B1-83-0033;684688;9996997
CSp-NIII_B1-83-0034;683071;9998322
CSp-NIII_B1-83-0035;686216;9999626
CSp-NIII_B1-97-0007;676224;9997758
CSp-NIII_B2-83-0065;695582;9991505
CSp-NIII_B2-83-0066;698866;9985412
CSp-NIII_B2-84-0023;713042;9982247
CSp-NIII_B2-84-0038;696297;9983715
CSp-NIII_B2-84-0039;709319;9987608
CSp-NIII_B2-89-0039;700916;9994436
CSp-NIII_B2-89-0040;710143;9995601
CSp-NIII_B2-97-0048;699324;9988374
CSp-NIII_B2-97-0049;696675;9988351
CSp-NIII_B3-83-0080;685572;9973205
CSp-NIII_B3-83-0081;692708;9977645
CSp-NIII_B3-97-0002;694703;9967101
CSp-NIII_B3-97-0061;694635;9967480
CSp-NIII_B3-98-0055;680070;9968950
CSp-NIII_B3-98-0056;682807;9966742
CSp-NIII_B4-83-0039;697820;9969290
CSp-NIII_B4-83-0040;708012;9969122
CSp-NIII_B4-83-0041;709302;9969056
CSp-NIII_B4-83-0057;721533;9973862
CSp-NIII_B4-83-0058;721468;9973140
CSp-NIII_B4-83-0059;721497;9972017
CSp-NIII_B4-83-0060;721210;9971048
CSp-NIII_B4-83-0061;720179;9968955
CSp-NIII_B4-83-0062;720775;9968628
CSp-NIII_B4-83-0063;720557;9967581
CSp-NIII_B4-83-0064;721045;9964760
CSp-NIII_B4-83-0071;716043;9964636
CSp-NIII_B4-83-0072;717222;9966393
CSp-NIII_B4-83-0073;717543;9966268
CSp-NIII_B4-83-0074;718666;9965182
CSp-NIII_B4-83-0078;706345;9963322
CSp-NIII_B4-83-0079;706649;9964353
CSp-NIII_B4-84-0001;712491;9968261
CSp-NIII_B4-84-0002;712549;9968423
CSp-NIII_B4-84-0003;712637;9969357
CSp-NIII_B4-84-0004;711995;9970391
CSp-NIII_B4-84-0005;701195;9979009
CSp-NIII_B4-84-0006;702549;9979928
CSp-NIII_B4-84-0007;700868;9980780
CSp-NIII_B4-84-0008;701212;9980742
CSp-NIII_B4-84-0048;717474;9964045
CSp-NIII_B4-84-0049;705371;9977275
CSp-NIII_B4-84-0050;715571;9972368
CSp-NIII_B4-84-0051;709439;9966237
CSp-NIII_B4-84-0052;708136;9966514
CSp-NIII_B4-84-0053;709766;9963702
CSp-NIII_B4-84-0054;709370;9963973
CSp-NIII_B4-89-0001;713910;9972423
CSp-NIII_B4-89-0002;709271;9974135
CSp-NIII_B4-89-0003;706466;9972818
